ID,Timestamp,Days,Hours,Minutes,RawData
C1,25201,0,7,0,###C1#T0#S2_3.94#T1#S3_28.0#T2#S1_8.82_A11#T3#S1_6.63_A11#T4#S1_7.19_A11#T5#S1_7.37_A11#T6#S1_7.03_A11#E#
C1,25501,0,7,5,###C1#T0#S2_3.94#T1#S3_27.3#T2#S1_8.31_A11#T3#S1_6.27_A11#T4#S1_6.79_A11#T5#S1_6.95_A11#T6#S1_6.63_A11#E#
C1,25801,0,7,10,###C1#T0#S2_3.94#T1#S3_27.0#T2#S1_7.34_A11#T3#S1_5.58_A11#T4#S1_6.03_A11#T5#S1_6.17_A11#T6#S1_5.88_A11#E#
C1,26101,0,7,15,###C1#T0#S2_3.94#T1#S3_26.5#T2#S1_6.05_A11#T3#S1_4.64_A11#T4#S1_5.02_A11#T5#S1_5.11_A11#T6#S1_4.86_A11#E#
C1,26401,0,7,20,###C1#T0#S2_3.94#T1#S3_26.0#T2#S1_5.04_A11#T3#S1_3.88_A11#T4#S1_4.17_A11#T5#S1_4.25_A11#T6#S1_4.05_A11#E#
C1,26701,0,7,25,###C1#T0#S2_3.94#T1#S3_25.8#T2#S1_4.32_A11#T3#S1_3.32_A11#T4#S1_3.56_A11#T5#S1_3.63_A11#T6#S1_3.46_A11#E#
C1,27001,0,7,30,###C1#T0#S2_3.94#T1#S3_25.3#T2#S1_4.02_A11#T3#S1_3.08_A11#T4#S1_3.31_A11#T5#S1_3.36_A11#T6#S1_3.22_A11#E#
C1,27301,0,7,35,###C1#T0#S2_3.94#T1#S3_24.8#T2#S1_3.75_A11#T3#S1_2.87_A11#T4#S1_3.09_A11#T5#S1_3.13_A11#T6#S1_3.01_A11#E#
C1,27601,0,7,40,###C1#T0#S2_3.94#T1#S3_24.5#T2#S1_3.31_A11#T3#S1_2.52_A11#T4#S1_2.71_A11#T5#S1_2.74_A11#T6#S1_2.65_A11#E#
C1,27901,0,7,45,###C1#T0#S2_3.94#T1#S3_24.0#T2#S1_2.80_A11#T3#S1_2.13_A11#T4#S1_2.28_A11#T5#S1_2.30_A11#T6#S1_2.23_A11#E#
C1,28201,0,7,50,###C1#T0#S2_3.94#T1#S3_23.8#T2#S1_2.24_A11#T3#S1_1.70_A11#T4#S1_1.82_A11#T5#S1_1.84_A11#T6#S1_1.77_A11#E#
C1,28501,0,7,55,###C1#T0#S2_3.94#T1#S3_23.3#T2#S1_1.60_A11#T3#S1_1.24_A11#T4#S1_1.34_A11#T5#S1_1.34_A11#T6#S1_1.30_A11#E#
C1,28801,0,8,0,###C1#T0#S2_3.94#T1#S3_22.8#T2#S1_1.07_A11#T3#S1_0.83_A11#T4#S1_0.89_A11#T5#S1_0.90_A11#T6#S1_0.87_A11#E#
